type,name,label::English,label::Arabic,relevant,constraint,required,repeat_count,constraint_message:English,constraint_message::Arabic,read_only,appearance,choice_filter,default,calculation,hint::English,hint::Arabic
select_multiple livelihood_type,primary_livelihood,92.0 What were your household's primary income sources over the last 30 days?  (do not read out from list),???? ???? ????? ????? ???????? ?????? ?????? ?? ??? ??? 30 ???? ????????  ( ?? ???? ?? ??????? ),,,yes,,"Cannot select ""None"" together with any other option",?? ????? ????? ( ????? ) ?? ???? ???,,,,,,,
text,primary_livelihood_other,"92.1 if other, specify please","??? ????, ?????? ?????","selected(${primary_livelihood},'other')",,yes,,,,,,,,,,
begin group,income,93.0 What was your household's total income in Iraqi Dinars over the last 30 days from the following sources:,?? ?? ?????? ??? ????? ???????? ??????? ???? ???????? ????? ??????? ?? ??????? ???????:,,,,,,,,field-list,,,,"Please enter the FULL IQD amount (i.e. 1,000 IQD)",?????? ????? ????? ???? ???? ???????? ??????? ( ????: 1000 ?????)
integer,inc_employment,93.1 Employment,???????,"selected(${primary_livelihood},'employment')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_remittances,93.2 Remittances,?????????/????????,"selected(${primary_livelihood},'remittences')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_humaid,93.3 Humanitarian aid,????????? ?????????,"selected(${primary_livelihood},'ngo_charity_assistance')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_debt,93.4 Borrowing money,?????? ?????,"selected(${primary_livelihood},'loans_debts')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_pension,93.5 Pension,???? ?????,"selected(${primary_livelihood},'retirement_pension')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_selling_assets,93.6 Selling household assets,??? ???? ??????,"selected(${primary_livelihood},'selling_assets')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_momd,93.7 MOMD cash assistance,?????? ????? ?? ????? ?????? ?????????,"selected(${primary_livelihood},'modm_cash_assistance')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_molsa,93.8 Social Protection Network (MOLSA),???? ??????? ?????????? (MOLSA),"selected(${primary_livelihood},'social_service')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_other_safety,93.9 Other safety nets,????? ??????? ?????? ??????,"selected(${primary_livelihood},'social_service')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_other,93.10 Other income source,???? ??? ???,"selected(${primary_livelihood},'other')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
integer,inc_rent,93.11 Renting property or land, ????? ?????? ????? ?? ????? ?? ????? ????,"selected(${primary_livelihood}, 'renting')",.=0 or .>=9999  and .<= 10000000,yes,,,,,,,,,,
calculate,tot_income,,,,,,,,,,,,,"coalesce(${inc_employment},0)+coalesce(${inc_remittances},0)+coalesce(${inc_humaid},0)+coalesce(${inc_debt},0)+coalesce(${inc_pension},0)+coalesce(${inc_selling_assets},0)+coalesce(${inc_momd},0)+coalesce(${inc_molsa},0)+coalesce(${inc_other_safety},0)+coalesce(${inc_other},0)",,
end group,,,,,,,,,,,,,,,,
note,income_note,Total income in IQDs over the last 30 days: ${tot_income},????? ????? ???????? ??????? ???? ??30 ???? ??????? ??  ${tot_income},,,,,,,,,,,,,
select_one ynd,employment_seasonal,94. Is all of this employment seasonal/temporary? ,?? ?? ??? ????? ?? ??????? ???? ?? ??????,${inc_employment}>0,,,,,,,,,,,,
integer,how_much_debt,"95. What is your household's total amount of debt, in IQD? ","???????? ???????,?? ?? ????? ??????? ??? ?????  ?",,.=0 or .>=999,yes,,,,,,,,,,
select_one reasons_for_debt,reasons_for_debt,96.0 What was the primary reason behind taking on debt? ,?? ?? ??? ????? ??????? ???? ?????? ??????,${how_much_debt}>0,,yes,,,,,,,,,,
text,other_reasons_for_debt,"96.1 If other, specify please","??? ????, ?????? ?????","selected(${reasons_for_debt},'other')",,yes,,,,,,,,,,
select_one place3,market_place,97. How far is the closest functioning market (that has both food and non-food items) that you have been able to access in the past month? ,?? ???? ???? ??? ???? ?????? ?????? ???? ?? ????? ???????,,,yes,,,,,,,,,30 minutes walking = 2 km (approximately),????? ??? ?? ??????? 2?? ???? ??????30  
end group,,,?????? ????????,,,,,,,,,,,,,
begin group,accountability,Accountability to affected populations,???????? ??? ?????? ?????????,${calc_noteligible} = 0,,,,,,,,,,,,
select_multiple info_aid,info_aid,98.0 What type of information would you like to receive from humanitarian actors (top 3)? Please specify your top 3 priorities.,?? ??? ????????? ???? ???? ?? ?????? ?? ?????? ??????? ????????? (????? ??? 3)?,,"not(selected(.,'none') and count-selected(.)>1) and count-selected(.)<=3",yes,,,,,,,,,,
text,info_aid_other,"98.1 if other, please describe",??? ????? ?????? ???????,"selected(${info_aid},'other')",,yes,,,,,,,,,,
select_multiple info_provider,info_provider,99.0 Who/where do you currently receive information from (top 3)?,??? ??? ?? ??? ????? ????????? ????? ( ???? ??? 3),,count-selected(.)<=3,,,,,,,,,,,
text,info_provider_other,"99.1 if other, please describe",??? ????? ?????? ???????,"selected(${info_provider},'other')",,yes,,,,,,,,,,
select_multiple info_mode,info_mode,100.0 What is your preferred mode of receiving the information (top 3)?,???? ??????? ??????? ???? ????? ????????? ( ???? ??? 3)?,,count-selected(.)<=3,yes,,You cannot select more than 3 options.,,,,,,,,
text,info_mode_other,"100.1 if other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${info_mode},'other')",,yes,,,,,,,,,,
select_one ynd,aid_received,"101. Have you received aid in the past 30 days?
",?? ?????? ?????? ?? ??????? ???? ??30 ???? ????????,,,yes,,,,,,,,,,
select_multiple aid_type,aid_type,102. What type of assistance/aid did you receive? ,????? ???????? ???? ?????????,"selected(${aid_received},'yes')",,yes,,,,,,,,,,
select_one yndd,aid_satisfaction,"103. If you have received aid in the last 30 days, are you satisfied with the aid you received?
",??? ???? ?? ??? ???? ?? ???????? ???? ?????????,"selected(${aid_received},'yes')",,yes,,,,,,,,,,
select_multiple aid_not_satisfied,aid_not_satisfied,"104.0 If you have received aid in the last 30 days and were not satisfied, what is the main reason why you were not satisfied with the aid received?",??? ??? ?? ????? ???????? ???? ??30 ???? ??????? ??? ??? ????? ???? ????? ??? ?????,"selected(${aid_satisfaction},'no')",,yes,,,,,,,,,,
text,aid_not_satisfied_other,"104.1 if other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${aid_not_satisfied},'other')",,,,,,,,,,,,
select_one yndd,aid_workers_satisfied,105.0 Are you satisfied with the way aid workers have behaved in the last 6 months in your location?  ,?? ??? ???? ?? ??????? ???? ??? ?? ???? ??????? ???? ??6 ???? ??????? ?? ??????,"selected(${aid_received},'yes')",,yes,,,,,,,,,,
text,aid_workers_whyno,"105.1 If not, why not?",??? ???? ???????,"selected(${aid_workers_satisfied},'no')",,yes,,,,,,,,,,
select_multiple aid_feedback,aid_feedback,"106.0 How would you prefer to provide feedback to aid providers about the quality, quantity and appropriateness of the aid you will receive (top 3)?  ",??? ???? ????? ??????? ?????? ????????? ??? ???? ????? ??????? ??????? ???? ????? ????? (???? 3 ??? ????)?,,count-selected(.)<=3,yes,,You cannot select more than 3 options.,,,,,,,,
text,aid_feedback_other,"106.1 if other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${aid_feedback},'other')",,yes,,,,,,,,,,
select_one yndd,community_decision_making,107. Do you feel like you have a say in decisions that affect your community?,? ???? ?? ???? ??? ?? ???????? ???? ???? ??? ???????,,,yes,,,,,,,,,,
select_one yndd,complaint_mechanisms,108. Are you aware of how to access complaint mechanisms for humanitarian aid?,  ?? ??? ??? ??? ?????? ?????? ??? ????? ???????,"selected(${aid_received},'yes')",,yes,,,,,,,,,,
select_one yes_no,info_specific_needs,109.0 Are you aware of any people who may be unable to access available information because of specific needs? ,?? ??? ??? ??? ??? ????? ?? ?? ??????? ?? ?????? ??? ????????? ??????? ???? ???????? ??????,,,yes,,,,,,,,,,
select_multiple specific_needs,info_specific_needs_who,"109.1 If yes, who are these persons? ",??? ???? ??????? ???? ? ??? ?? ????? ????????,"selected(${info_specific_needs},'yes')",,yes,,,,,,,,,,
text,info_specific_needs_who_other,"109.2 if other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${info_specific_needs_who},'other')",,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,contact_group,Contact,?????,${calc_noteligible} = 0,,,,,,,,,,,,
select_one yes_no,further_contact_willing,110.0 Are you prepared to provide your details so that we can contact you by telephone to take part in other future assessments about your area of origin?,?? ??? ????? ?????? ???????? ?????? ?? ???? ?????? ??????? ?? ??? ?????? ?? ???????? ?? ??? ???????? ?? ????????? ?????? ?? ?????? ?????? ? ,,,yes,,,,,,,,,,
begin group,contact_details,Please provide your contact details:,???? ????? ?????? ??????? ?????? ??,"selected(${further_contact_willing},'yes')",,,,,,,field-list,,,,,
text,contact_details_name,110.1 Full name,????? ??????,"selected(${further_contact_willing}, 'yes')",,yes,,,,,,,,,,
text,contact_details_telephone,110.2 Telephone number,??? ??????,"selected(${further_contact_willing}, 'yes')","regex(., '^[0]{1}[0-9]{10}$')",yes,,should be 11 digits and start with 0,????? ?? ???? 11 ????? ????? ?? 0,,,,,,,
end group,,,,,,,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
geopoint,gpslocation,Record the current location within 5 meters of accuracy,?????? ????? ?????? ??? ????? 5 ????? ?? ????,${calc_noteligible} = 0,,yes,,,,,,,,,,
note,thanks,END OF SURVEY - THANK YOU FOR YOUR TIME please exit the form and submit it,????? ????????? ???? ????? ?????? ????? ????????? ????????.,,,,,,,,,,,,,
select_one type_hh,type_hh,,,,,,,,,,,,,,,
